xizmat_turi,mintaqa,sektor,kredit_ball,yosh,tajriba,oldingi_kreditlar,oldingi_defaultlar,moliyalash_miqdori,muddat_oy,foyda_stavkasi,ltv_nisbati,qarz_xizmat_nisbati,likvidlik,leverage,garov_sifati,sharia_audit,gharar_darajasi,maysir_ekspozitsiya,halal_sertifikat,bozor_volatilligi,yim_osishi,inflyatsiya,valyuta_tebranishi,neft_narxi,bank_indeksi,pd_qiymati,ead,lgd,kutilgan_zarar,default_holati,risk_darajasi,risk_kodi,xizmat_enc,mintaqa_enc,sektor_enc
Musharaka,Qashqadaryo,Qishloq xo'jaligi,583,27,4,1,0,49396,24,0.2179,0.4769,0.4229,0.9389,0.6849,4,0.8077,0.0802,0.048,1,0.2672,0.0581,0.1094,0.0447,-0.2309,0.1666,0.2599,60158,0.6726,10517,0,Yuqori,2,2,3,2
Musharaka,Namangan,Qurilish,617,22,1,2,0,23239,120,0.2972,0.6461,0.3685,0.9505,0.6199,2,0.6268,0.1084,0.1499,1,0.2365,0.0345,0.1261,0.0606,0.144,-0.1077,0.7853,57768,0.5904,26784,0,Juda Yuqori,3,2,2,3
Murabaha,Buxoro,Ishlab chiqarish,654,55,6,4,0,277205,6,0.1066,0.8248,0.4251,0.878,0.1842,3,0.8516,0.0389,0.1552,1,0.1223,0.0593,0.0986,0.0651,0.0877,0.0905,0.1087,284590,0.4185,12943,0,O'rta,1,1,0,1
Sukuk,Toshkent,Eksport,597,29,16,2,0,39676,24,0.0625,0.6173,0.3949,0.6969,0.2994,4,0.7654,0.1583,0.055,1,0.0743,0.0723,0.1223,0.0491,0.0101,-0.0397,0.1401,42156,0.2186,1291,0,O'rta,1,3,5,0
Murabaha,Qashqadaryo,Xizmat,718,58,6,1,0,12334,36,0.1192,0.7976,0.0596,0.802,0.8824,1,0.8713,0.2176,0.0413,1,0.11,0.0542,0.1042,0.0342,-0.025,0.1034,0.249,14541,0.6961,2520,0,O'rta,1,1,3,5
Murabaha,Qashqadaryo,Xizmat,580,57,13,4,0,20094,6,0.0872,0.6017,0.8336,0.8847,0.3052,3,0.9275,0.0991,0.1226,1,0.1326,0.0739,0.1198,0.0581,0.1627,-0.057,0.4449,20532,0.3564,3255,1,Yuqori,2,1,3,5
Sukuk,Samarqand,Savdo,811,54,10,2,0,9646,24,0.0458,0.6228,0.4045,0.8751,0.2173,2,0.9239,0.4064,0.0346,1,0.0876,0.0764,0.0836,0.0546,-0.012,-0.0712,0.0621,10088,0.199,125,0,Past,0,3,4,4
Sukuk,Buxoro,Qurilish,559,53,21,2,0,98093,60,0.0487,0.6418,0.2836,0.6548,0.5666,4,0.7951,0.0568,0.02,1,0.0943,0.0265,0.1014,0.0328,0.1956,0.0899,0.1137,110042,0.3607,4514,0,O'rta,1,3,0,3
Sukuk,Buxoro,Xizmat,588,27,16,2,0,702305,120,0.0709,0.5788,0.3566,0.7007,0.5086,3,0.8824,0.2764,0.1201,1,0.038,0.0641,0.105,0.0268,0.1883,0.1284,0.1991,951172,0.314,59476,0,O'rta,1,3,0,5
Ijara,Qashqadaryo,Xizmat,810,63,17,1,0,33708,60,0.1195,0.379,0.3561,0.6766,0.682,4,0.7292,0.2243,0.4,1,0.088,0.0611,0.0887,0.0478,-0.0627,0.1178,0.156,43775,0.3496,2388,0,O'rta,1,0,3,5
Ijara,Namangan,Xizmat,681,43,17,3,1,199663,60,0.0796,0.4481,0.27,0.4515,0.8044,2,0.6674,0.1751,0.3411,1,0.0812,0.0514,0.1254,0.0493,-0.029,0.0279,0.7383,239382,0.306,54090,0,Juda Yuqori,3,0,2,5
Musharaka,Namangan,Savdo,595,55,13,0,0,2559,24,0.2736,0.3932,0.2131,0.6317,0.7484,2,0.884,0.3916,0.1563,1,0.2658,0.0765,0.0865,0.0677,0.1043,0.1532,0.8479,3260,0.6059,1675,1,Juda Yuqori,3,2,2,4
Murabaha,Buxoro,Eksport,625,59,11,2,1,329837,6,0.0711,0.6123,0.384,0.7693,0.5947,3,0.6768,0.1495,0.0747,1,0.1488,0.0402,0.0993,0.0219,-0.1646,0.1649,0.545,335702,0.373,68246,1,Juda Yuqori,3,1,0,0
Murabaha,Toshkent,Savdo,701,31,20,3,1,110232,36,0.1093,0.4924,0.2134,0.6975,0.7457,2,0.7553,0.1702,0.0835,1,0.1109,0.0578,0.1008,0.0654,0.1423,0.0714,0.4066,128302,0.5485,28612,0,Yuqori,2,1,5,4
Murabaha,Samarqand,Xizmat,692,51,14,2,0,24672,24,0.1764,0.7685,0.2031,0.8946,0.4728,2,0.7875,0.4481,0.1424,1,0.1389,0.0196,0.0946,0.0439,0.1132,-0.0447,0.4982,29025,0.44,6363,0,Juda Yuqori,3,1,4,5
Murabaha,Toshkent,Qurilish,665,64,13,3,1,87617,24,0.1133,0.4735,0.05,0.6514,0.1915,2,0.7665,0.2691,0.1602,1,0.1591,0.0364,0.0921,0.0637,-0.1649,0.0719,0.2759,97545,0.5417,14580,1,Yuqori,2,1,5,3
Ijara,Samarqand,Qishloq xo'jaligi,736,61,10,4,0,139770,24,0.0615,0.5528,0.1277,0.9419,0.3335,4,0.8093,0.1093,0.0849,1,0.0627,0.0719,0.1416,0.0707,0.3622,0.1083,0.0111,148367,0.2817,463,0,Past,0,0,4,2
Musharaka,Toshkent,Ishlab chiqarish,678,29,13,2,0,10161,120,0.3634,0.4627,0.4395,0.6323,0.2782,2,0.552,0.3531,0.1629,1,0.2497,0.0464,0.0766,0.0511,0.244,0.1022,0.811,28623,0.6926,16079,0,Juda Yuqori,3,2,5,1
Murabaha,Buxoro,Xizmat,499,26,20,4,0,24809,6,0.1695,0.8808,0.3481,0.4495,0.2771,4,0.7408,0.1823,0.0455,1,0.1557,0.0639,0.1134,0.0521,-0.027,0.083,0.5937,25860,0.3327,5108,0,Juda Yuqori,3,1,0,5
Murabaha,Buxoro,Eksport,545,29,11,3,0,48587,36,0.1177,0.7408,0.6,0.5152,0.3555,4,0.55,0.0654,0.3506,0,0.0647,0.0961,0.0893,0.0245,-0.155,0.0689,0.8522,57164,0.5339,26006,1,Juda Yuqori,3,1,0,0
Ijara,Toshkent,Xizmat,606,33,23,1,0,43734,84,0.0577,0.8523,0.528,0.7285,0.6917,4,0.8574,0.2313,0.0886,1,0.0618,0.0474,0.1189,0.0327,0.0637,0.0301,0.4707,52567,0.3904,9658,1,Juda Yuqori,3,0,5,5
Murabaha,Buxoro,Xizmat,514,25,9,4,0,22895,24,0.1206,0.3492,0.5715,0.5246,0.2803,2,0.8768,0.0147,0.1823,1,0.1094,0.0391,0.0971,0.0581,0.0025,0.1196,0.362,25656,0.4404,4091,1,Yuqori,2,1,0,5
Sukuk,Qashqadaryo,Ishlab chiqarish,587,32,20,0,0,91226,24,0.0957,0.3991,0.3994,0.6548,0.6897,3,0.7689,0.0974,0.1156,1,0.0938,0.0621,0.0856,0.0531,0.1043,0.1296,0.2437,99960,0.1402,3414,0,O'rta,1,3,3,1
Musharaka,Farg'ona,Xizmat,542,42,21,6,0,75822,12,0.3186,0.745,0.4967,0.8773,0.4898,2,0.7027,0.343,0.2133,1,0.2724,0.0624,0.1098,0.0165,0.0139,-0.0562,0.9761,87901,0.6018,51637,1,Juda Yuqori,3,2,1,5
Musharaka,Farg'ona,Xizmat,582,27,21,4,0,488912,60,0.2516,0.6114,0.4905,0.4844,0.6236,3,0.6417,0.3266,0.1255,1,0.2471,0.064,0.124,0.0497,0.1599,0.0443,0.9544,796461,0.6468,491706,1,Juda Yuqori,3,2,1,5
Musharaka,Samarqand,Ishlab chiqarish,570,51,3,1,0,53545,12,0.1697,0.5497,0.1316,0.6308,0.4779,3,0.6125,0.2193,0.2666,1,0.265,0.0423,0.0983,0.0608,-0.0813,0.069,0.7754,58089,0.4549,20492,1,Juda Yuqori,3,2,4,1
Ijara,Farg'ona,Eksport,624,63,8,3,0,183293,12,0.0963,0.5324,0.6326,0.587,0.3791,1,0.6117,0.1822,0.1272,1,0.1079,0.0715,0.1106,0.0088,0.02,-0.1163,0.7673,192123,0.3183,46919,1,Juda Yuqori,3,0,1,0
Murabaha,Namangan,Savdo,572,40,7,3,1,32735,12,0.1054,0.6286,0.2579,0.6957,0.409,3,0.7916,0.0923,0.1551,1,0.0599,0.0503,0.0877,0.0523,-0.0519,0.0186,0.2597,34459,0.5211,4663,0,Yuqori,2,1,2,4
Ijara,Farg'ona,Eksport,636,62,15,3,1,24175,12,0.0567,0.4998,0.6752,0.3956,0.2301,2,0.7922,0.1538,0.2193,1,0.1309,0.0633,0.1141,0.0896,0.0403,0.01,0.8543,24860,0.1817,3858,1,Juda Yuqori,3,0,1,0
Musharaka,Buxoro,Eksport,582,39,11,2,0,14801,36,0.3308,0.9205,0.6089,0.8084,0.8606,4,0.7503,0.3309,0.2271,0,0.2762,0.0385,0.1178,0.0881,-0.2214,0.0093,0.9848,22146,0.6343,13834,1,Juda Yuqori,3,2,0,0
Murabaha,Qashqadaryo,Ishlab chiqarish,564,33,12,3,0,11776,6,0.0731,0.8692,0.1793,0.7422,0.5988,3,0.8986,0.0648,0.2115,1,0.0785,0.0257,0.0712,0.0389,0.06,-0.1554,0.2024,11991,0.4054,984,1,O'rta,1,1,3,1
Sukuk,Buxoro,Qurilish,625,50,9,3,0,11042,120,0.0912,0.8131,0.3353,0.8399,0.8936,3,0.8527,0.3198,0.0034,1,0.1162,0.0209,0.0989,0.0601,0.1547,0.0515,0.3847,16075,0.2941,1819,0,Yuqori,2,3,0,3
Ijara,Samarqand,Savdo,648,29,20,3,0,78434,36,0.0989,0.7763,0.3608,0.7427,0.5935,5,0.8037,0.1354,0.2483,1,0.0964,0.0479,0.0801,0.0431,-0.0903,-0.0292,0.1268,90073,0.2911,3325,0,O'rta,1,0,4,4
Ijara,Samarqand,Eksport,552,23,2,3,0,22654,84,0.0788,0.6206,0.2917,0.8718,0.1759,3,0.7635,0.1525,0.0358,1,0.0931,0.0413,0.0903,0.0411,-0.0097,0.0186,0.063,28903,0.4269,777,0,Past,0,0,4,0
Sukuk,Buxoro,Xizmat,696,47,1,3,0,29835,60,0.0616,0.7695,0.5038,0.5709,0.8709,4,0.8434,0.2741,0.0747,1,0.0956,0.0416,0.0584,0.0132,0.0355,0.0158,0.3976,34426,0.1948,2666,0,Yuqori,2,3,0,5
Sukuk,Toshkent,Qurilish,656,27,3,0,0,151396,60,0.0631,0.6939,0.401,0.8887,0.3705,2,0.7157,0.2708,0.0995,1,0.0966,0.0689,0.107,0.0734,0.0999,-0.0358,0.1731,175297,0.2949,8952,0,O'rta,1,3,5,3
Ijara,Samarqand,Ishlab chiqarish,510,51,7,3,0,38568,84,0.0733,0.8939,0.3873,0.6365,0.3237,4,0.8152,0.064,0.0477,1,0.1015,0.0113,0.0886,0.0818,0.3433,0.124,0.2508,48464,0.3885,4722,1,Yuqori,2,0,4,1
Ijara,Samarqand,Qurilish,797,34,16,1,0,133845,84,0.0628,0.7045,0.3079,0.4458,0.6509,3,0.6999,0.2686,0.2564,1,0.1331,0.055,0.0687,0.0637,0.1471,-0.0034,0.4459,163265,0.4049,29477,1,Yuqori,2,0,4,3
Ijara,Farg'ona,Qishloq xo'jaligi,619,33,5,4,1,634096,12,0.0876,0.517,0.7756,0.2635,0.7027,4,0.7271,0.2181,0.0118,1,0.0932,0.0624,0.0787,0.0763,0.0926,-0.0012,0.8558,661856,0.3162,179095,1,Juda Yuqori,3,0,1,2
Ijara,Namangan,Qishloq xo'jaligi,812,61,23,3,0,56291,36,0.0638,0.6401,0.5067,0.6995,0.8886,3,0.7313,0.2245,0.0529,0,0.0903,0.0438,0.0916,0.0789,0.127,0.0288,0.4,61674,0.4708,11613,1,Yuqori,2,0,2,2
Musharaka,Farg'ona,Xizmat,674,51,18,0,0,110542,24,0.1605,0.5261,0.4638,0.8307,0.2259,2,0.6816,0.1146,0.056,1,0.2639,0.0201,0.0648,0.0003,0.0653,-0.047,0.533,128283,0.6323,43231,0,Juda Yuqori,3,2,1,5
Ijara,Farg'ona,Ishlab chiqarish,574,31,2,4,0,34505,24,0.0744,0.5008,0.2929,0.9551,0.699,3,0.9328,0.4728,0.1797,1,0.0759,0.0741,0.1519,0.053,-0.0477,-0.1504,0.4217,37072,0.402,6285,1,Yuqori,2,0,1,1
Murabaha,Buxoro,Qurilish,615,39,21,4,0,63340,12,0.167,0.8437,0.2393,0.965,0.2138,2,0.8611,0.1126,0.0486,1,0.1025,0.0616,0.0879,0.0414,-0.058,0.2273,0.1095,68629,0.4679,3516,0,O'rta,1,1,0,3
Sukuk,Samarqand,Qishloq xo'jaligi,601,59,24,3,0,21793,36,0.0867,0.7632,0.3564,0.6858,0.5497,2,0.8429,0.3105,0.0535,1,0.0881,0.0543,0.1091,0.0509,0.0594,-0.1031,0.4808,24626,0.3634,4303,0,Juda Yuqori,3,3,4,2
Sukuk,Namangan,Eksport,583,55,1,4,1,33180,60,0.0688,0.3168,0.1914,0.8353,0.8977,4,0.7113,0.1774,0.1361,1,0.0776,0.0771,0.1202,0.0652,-0.084,0.0949,0.188,38885,0.1756,1283,0,O'rta,1,3,2,0
Murabaha,Samarqand,Qurilish,612,27,1,5,1,105063,6,0.1423,0.404,0.1957,0.8621,0.6713,3,0.8002,0.1623,0.035,1,0.132,0.0528,0.1105,0.0611,0.0261,0.1531,0.1876,108801,0.4301,8780,1,O'rta,1,1,4,3
Ijara,Buxoro,Ishlab chiqarish,668,56,2,3,0,56472,24,0.1269,0.4791,0.3927,0.7005,0.6207,3,0.6616,0.2361,0.0278,1,0.0928,0.0369,0.0828,0.0219,-0.2387,0.218,0.2548,63637,0.2099,3402,0,Yuqori,2,0,0,1
Murabaha,Samarqand,Ishlab chiqarish,608,49,20,2,1,172103,24,0.154,0.4479,0.1772,0.7429,0.4588,3,0.9375,0.2368,0.1324,0,0.1078,0.0366,0.0902,0.0454,-0.1965,-0.0334,0.3077,198614,0.4138,25285,0,Yuqori,2,1,4,1
Murabaha,Buxoro,Qishloq xo'jaligi,626,53,10,3,0,10878,12,0.0916,0.7171,0.1758,0.7848,0.3011,1,0.7943,0.4612,0.1977,1,0.1127,0.0512,0.0481,0.0267,0.1798,0.2019,0.614,11376,0.4811,3360,1,Juda Yuqori,3,1,0,2
Ijara,Buxoro,Savdo,687,64,10,0,0,13303,24,0.0994,0.6738,0.3804,0.8681,0.5069,2,0.8413,0.1753,0.1105,0,0.0795,0.0557,0.0964,0.0794,0.2029,-0.0537,0.3363,14625,0.3107,1528,0,Yuqori,2,0,0,4
Murabaha,Qashqadaryo,Qishloq xo'jaligi,571,25,2,3,0,10877,6,0.0934,0.4781,0.3544,0.8889,0.7572,4,0.6519,0.2349,0.1147,1,0.1056,0.04,0.0743,0.0441,0.0401,0.0463,0.2326,11131,0.5794,1500,0,O'rta,1,1,3,2
Ijara,Buxoro,Qurilish,660,47,6,3,0,9387,12,0.0584,0.5354,0.5492,0.8889,0.1716,5,0.8522,0.5,0.14,1,0.1009,0.061,0.0965,0.0523,0.0917,0.1006,0.1766,9661,0.4191,715,0,O'rta,1,0,0,3
Ijara,Farg'ona,Qishloq xo'jaligi,683,47,14,2,0,60749,12,0.1278,0.4363,0.3333,0.8386,0.2939,2,0.7795,0.0981,0.0425,1,0.1221,0.0574,0.0842,0.0919,0.023,0.0892,0.0453,64631,0.3451,1011,0,Past,0,0,1,2
Musharaka,Toshkent,Eksport,609,28,11,2,0,104126,12,0.3154,0.6204,0.4492,0.9106,0.7396,2,0.7583,0.1267,0.0946,0,0.2244,0.0807,0.1054,0.0731,0.3286,0.202,0.8314,120545,0.5541,55528,0,Juda Yuqori,3,2,5,0
Murabaha,Buxoro,Savdo,659,60,19,1,0,2609,24,0.144,0.7239,0.4797,0.4602,0.4235,4,0.8808,0.0842,0.0731,1,0.1265,0.0615,0.1514,0.0593,-0.0381,0.054,0.2832,2985,0.5251,444,0,Yuqori,2,1,0,4
Murabaha,Buxoro,Xizmat,607,52,9,1,0,8206,12,0.0701,0.3946,0.3772,0.802,0.8586,3,0.6842,0.2621,0.0874,1,0.1087,0.0836,0.0571,0.0457,-0.3623,-0.0261,0.4407,8493,0.5286,1979,0,Yuqori,2,1,0,5
Musharaka,Toshkent,Qurilish,717,45,17,3,0,65062,12,0.3294,0.5176,0.1933,0.6887,0.3576,5,0.8661,0.2664,0.3913,1,0.2576,0.0389,0.1321,0.0833,0.1558,-0.093,0.3781,75779,0.6749,19337,0,Yuqori,2,2,5,3
Sukuk,Buxoro,Qishloq xo'jaligi,629,44,7,2,0,30383,60,0.0892,0.4039,0.1263,0.7845,0.3344,4,0.984,0.1437,0.0296,0,0.0797,0.0679,0.0852,0.0228,-0.1111,0.1064,0.0137,37162,0.3899,199,0,Past,0,3,0,2
Musharaka,Buxoro,Savdo,786,22,22,2,1,146584,36,0.1674,0.481,0.3365,0.8017,0.776,5,0.6718,0.233,0.0931,1,0.2581,0.0598,0.1036,0.025,-0.008,0.0007,0.4887,183395,0.5079,45524,1,Juda Yuqori,3,2,0,4
Murabaha,Farg'ona,Ishlab chiqarish,493,32,17,2,0,40554,24,0.0893,0.8421,0.3045,0.5576,0.1721,3,0.8354,0.3042,0.1206,1,0.0963,0.044,0.0786,0.0226,0.1313,0.0032,0.6038,44177,0.4119,10988,0,Juda Yuqori,3,1,1,1
Musharaka,Qashqadaryo,Qurilish,691,42,5,1,0,60138,84,0.2107,0.5836,0.1609,0.6278,0.2507,5,0.7625,0.1354,0.0673,1,0.2403,0.0585,0.1069,0.0518,0.0468,0.0625,0.0976,104479,0.5769,5880,0,Past,0,2,3,3
Musharaka,Farg'ona,Savdo,514,38,18,3,0,144425,12,0.2316,0.2326,0.5174,0.4646,0.5494,2,0.7445,0.3629,0.1022,1,0.2442,0.0431,0.0933,0.0003,0.0254,-0.0306,0.9558,161148,0.5697,87754,1,Juda Yuqori,3,2,1,4
Ijara,Toshkent,Eksport,641,50,19,4,1,91644,60,0.09,0.5654,0.5353,0.8772,0.5425,5,0.7055,0.1301,0.0508,1,0.1047,0.04,0.1087,0.056,-0.0805,0.0327,0.1563,112255,0.3962,6953,0,O'rta,1,0,5,0
Murabaha,Toshkent,Qurilish,635,37,12,1,0,5415,12,0.1191,0.4625,0.6003,0.8914,0.1322,2,0.8555,0.2418,0.1133,1,0.1017,0.0603,0.1005,0.0819,-0.1528,0.0393,0.2284,5738,0.4588,601,0,O'rta,1,1,5,3
Ijara,Qashqadaryo,Xizmat,687,49,3,2,0,32699,36,0.0936,0.4716,0.5396,0.8435,0.7319,1,0.8174,0.0616,0.0876,1,0.113,0.0418,0.0982,0.086,0.0412,0.196,0.3049,37288,0.3429,3898,1,Yuqori,2,0,3,5
Musharaka,Namangan,Xizmat,437,44,21,4,1,28948,36,0.133,0.5442,0.7496,0.823,0.7338,3,0.8967,0.195,0.2549,1,0.2293,0.0378,0.1165,0.0751,0.3348,-0.0135,0.9888,34725,0.6768,23238,1,Juda Yuqori,3,2,2,5
Sukuk,Samarqand,Ishlab chiqarish,685,44,16,1,0,13320,36,0.0873,0.7159,0.051,0.7689,0.4289,4,0.7592,0.1798,0.194,1,0.0769,0.0454,0.0813,0.0027,-0.0587,-0.0554,0.0267,15065,0.268,108,0,Past,0,3,4,1
Murabaha,Buxoro,Qishloq xo'jaligi,533,41,2,3,0,77789,6,0.1268,0.8618,0.6421,0.6273,0.777,3,0.8112,0.3109,0.0489,1,0.1042,0.0553,0.1051,0.0447,0.049,-0.033,0.8815,80255,0.446,31552,0,Juda Yuqori,3,1,0,2
Musharaka,Farg'ona,Savdo,667,42,24,2,1,15819,12,0.3367,0.6622,0.4995,0.7571,0.5985,1,0.7126,0.0482,0.0913,1,0.2249,0.0614,0.0581,0.0882,-0.1159,0.026,0.9126,18482,0.5817,9812,1,Juda Yuqori,3,2,1,4
Sukuk,Samarqand,Savdo,700,41,23,0,0,17464,60,0.0693,0.4342,0.2512,0.7078,0.2588,3,0.7264,0.4019,0.1906,1,0.0684,0.0415,0.0876,0.0488,0.2032,0.1023,0.0962,20489,0.2474,487,0,Past,0,3,4,4
Murabaha,Toshkent,Qishloq xo'jaligi,596,58,13,2,0,50906,60,0.089,0.4153,0.3443,0.6924,0.8784,3,0.7189,0.4628,0.1002,0,0.0865,0.0436,0.0841,0.034,0.0647,0.091,0.7177,62236,0.3669,16387,0,Juda Yuqori,3,1,5,2
Sukuk,Qashqadaryo,Ishlab chiqarish,767,28,20,2,0,275863,120,0.05,0.639,0.2535,0.8561,0.8473,2,0.7635,0.304,0.0825,1,0.0647,0.0531,0.1251,0.0158,0.2323,0.0613,0.2203,344881,0.1401,10647,0,O'rta,1,3,3,1
Ijara,Namangan,Qurilish,471,29,24,2,0,41770,84,0.0844,0.5806,0.6281,0.8138,0.8649,4,0.8602,0.3068,0.0963,1,0.0884,0.0428,0.1109,0.0788,0.0942,-0.0563,0.7114,54108,0.2967,11422,1,Juda Yuqori,3,0,2,3
Murabaha,Namangan,Qurilish,578,62,3,4,0,69848,12,0.0958,0.4019,0.659,0.7855,0.428,3,0.55,0.0753,0.2803,1,0.1568,0.0767,0.084,0.0479,0.2639,-0.0331,0.6039,73193,0.3182,14064,1,Juda Yuqori,3,1,2,3
Murabaha,Samarqand,Eksport,650,43,17,3,1,119304,60,0.1747,0.7415,0.1183,0.6806,0.7729,4,0.8047,0.1463,0.2348,1,0.0683,0.0536,0.0665,0.0302,0.1126,0.016,0.2721,171397,0.3459,16133,0,Yuqori,2,1,4,0
Ijara,Buxoro,Qurilish,680,48,11,2,0,95955,36,0.0878,0.6244,0.2335,0.7049,0.8855,4,0.55,0.2432,0.3074,1,0.0774,0.0492,0.1051,0.0564,0.0739,0.0194,0.3474,108592,0.4019,15161,0,Yuqori,2,0,0,3
Murabaha,Toshkent,Xizmat,681,64,17,0,0,83985,12,0.1534,0.5735,0.4921,0.8214,0.5358,5,0.8614,0.1549,0.2377,1,0.0543,0.0434,0.1212,0.075,-0.0994,0.0211,0.135,90429,0.4927,6013,1,O'rta,1,1,5,5
Musharaka,Namangan,Savdo,639,37,12,5,1,6728,36,0.1723,0.3352,0.5066,0.4599,0.4672,3,0.55,0.0897,0.1251,1,0.2275,0.0437,0.0986,0.0758,-0.0252,0.0059,0.9005,8467,0.5911,4507,1,Juda Yuqori,3,2,2,4
Murabaha,Qashqadaryo,Savdo,785,62,24,3,0,89496,36,0.1594,0.7693,0.1946,0.8261,0.4137,4,0.822,0.2039,0.0385,1,0.1499,0.0795,0.0886,0.0105,-0.0109,-0.0245,0.0534,110894,0.3816,2259,0,Past,0,1,3,4
Musharaka,Samarqand,Qurilish,577,56,22,1,0,78353,84,0.2225,0.9323,0.3669,0.9186,0.825,4,0.8411,0.0875,0.1219,1,0.2725,0.0596,0.1215,0.082,0.1601,0.0231,0.7848,139363,0.6333,69262,1,Juda Yuqori,3,2,4,3
Murabaha,Buxoro,Qurilish,616,56,20,0,0,27361,6,0.1508,0.7832,0.5035,0.6717,0.3096,4,0.7353,0.2858,0.3213,1,0.1358,0.071,0.093,0.0598,0.2237,0.0773,0.6366,28392,0.4894,8846,1,Juda Yuqori,3,1,0,3
Sukuk,Namangan,Qurilish,696,60,13,3,0,2050378,84,0.0771,0.721,0.5511,0.6523,0.3771,2,0.837,0.3192,0.0317,1,0.0956,0.07,0.0751,0.0729,-0.2069,-0.0607,0.3985,2603456,0.361,374557,0,Yuqori,2,3,2,3
Sukuk,Qashqadaryo,Savdo,510,41,16,3,0,65917,120,0.0941,0.8791,0.5902,0.6477,0.6023,3,0.6938,0.111,0.0027,1,0.0884,0.0584,0.1193,0.032,-0.0317,-0.0332,0.6603,96922,0.197,12607,1,Juda Yuqori,3,3,3,4
Sukuk,Qashqadaryo,Qurilish,611,39,21,7,0,82491,36,0.0897,0.8599,0.4691,0.8781,0.4875,2,0.7877,0.1259,0.1904,1,0.0823,0.0434,0.0928,0.0535,0.1737,0.0143,0.4663,93587,0.2918,12735,1,Juda Yuqori,3,3,3,3
Ijara,Namangan,Savdo,612,26,12,0,0,28073,24,0.0721,0.654,0.2356,0.7994,0.2356,3,0.678,0.1887,0.0492,1,0.1607,0.0601,0.0665,0.0256,0.1191,0.0214,0.0965,30096,0.3859,1121,0,Past,0,0,2,4
Murabaha,Samarqand,Ishlab chiqarish,737,43,11,2,0,16323,12,0.1296,0.2507,0.4591,0.7707,0.534,3,0.8684,0.5,0.1613,0,0.0895,0.0834,0.0665,0.0627,0.1653,0.015,0.3898,17381,0.4734,3207,0,Yuqori,2,1,4,1
Ijara,Buxoro,Qurilish,648,28,20,2,0,360236,84,0.1236,0.2591,0.5898,0.8968,0.1563,2,0.7484,0.2399,0.22,1,0.1186,0.0416,0.1019,0.0272,0.2108,-0.0421,0.1735,516067,0.3031,27132,0,O'rta,1,0,0,3
Murabaha,Farg'ona,Savdo,669,38,21,0,0,34550,60,0.1603,0.3053,0.3139,0.767,0.6722,3,0.8852,0.2921,0.1336,1,0.0986,0.0452,0.107,0.0272,0.2007,0.1891,0.1011,48396,0.4916,2406,0,O'rta,1,1,1,4
Murabaha,Farg'ona,Xizmat,635,45,6,1,0,117005,36,0.1438,0.7488,0.2668,0.8478,0.6002,4,0.8365,0.367,0.0878,1,0.1375,0.048,0.0928,0.009,0.0334,0.1107,0.246,142239,0.5357,18744,0,O'rta,1,1,1,5
Murabaha,Buxoro,Qurilish,679,50,3,4,0,132915,24,0.0857,0.8335,0.2247,0.6872,0.6041,5,0.6737,0.1484,0.0212,1,0.1563,0.0432,0.0475,0.0716,-0.0336,-0.0246,0.1071,144309,0.4836,7473,1,O'rta,1,1,0,3
Musharaka,Samarqand,Xizmat,680,34,23,3,1,26040,12,0.3198,0.6094,0.57,0.8729,0.1444,3,0.6933,0.3492,0.2485,1,0.2252,0.037,0.1194,0.1078,-0.0415,-0.1041,0.9363,30204,0.5289,14956,1,Juda Yuqori,3,2,4,5
Ijara,Farg'ona,Qishloq xo'jaligi,632,58,9,1,1,18305,84,0.0562,0.7973,0.3106,0.6893,0.1281,2,0.5974,0.1156,0.0594,1,0.0856,0.086,0.1079,0.0332,0.0108,0.1008,0.5065,21906,0.3844,4265,0,Juda Yuqori,3,0,1,2
Ijara,Farg'ona,Qurilish,619,37,6,2,0,200316,36,0.0572,0.3621,0.392,0.9053,0.4619,4,0.7618,0.2587,0.1407,1,0.0738,0.0502,0.1279,0.077,0.0134,0.0773,0.0825,217508,0.5171,9276,0,Past,0,0,1,3
Musharaka,Namangan,Ishlab chiqarish,774,34,3,3,0,36951,36,0.2482,0.4948,0.5727,0.3017,0.8229,2,0.9089,0.4994,0.0257,1,0.2186,0.0613,0.1196,0.0357,-0.0589,0.1001,0.946,50709,0.5378,25801,1,Juda Yuqori,3,2,2,1
Murabaha,Buxoro,Ishlab chiqarish,671,48,6,3,0,27443,24,0.1688,0.2933,0.3138,0.8679,0.6425,2,0.8291,0.1237,0.2115,1,0.1134,0.0649,0.1,0.1226,-0.1697,0.1129,0.1486,32076,0.3385,1613,0,O'rta,1,1,0,1
Sukuk,Samarqand,Ishlab chiqarish,607,47,18,1,0,45764,24,0.0772,0.5938,0.4985,0.9308,0.319,3,0.9057,0.3077,0.0424,1,0.0448,0.0462,0.09,0.1094,0.155,0.0762,0.1289,49296,0.2982,1894,0,O'rta,1,3,4,1
Musharaka,Samarqand,Qishloq xo'jaligi,654,52,19,2,0,149468,24,0.2874,0.478,0.1164,0.6716,0.256,2,0.55,0.1344,0.0185,1,0.2057,0.0277,0.0775,0.0193,0.0308,0.071,0.2629,192432,0.5911,29904,0,Yuqori,2,2,4,2
